time,soft_counts,hard_counts
59769.499965,-0.009507,0.000868
59770.499965,-0.004422,0.000194
59771.499965,0.004331,0.008798
59772.499965,-0.012776,-0.008645
59773.499965,-0.014259,0.007502
59774.499965,0.004677,0.004061
59775.499965,0.003938,-3.6e-05
59776.499965,0.000602,-0.008509
59777.499965,0.002894,0.010217
59778.499965,0.014336,-0.002515
59779.499965,-0.026541,0.005182
59780.499965,0.019912,0.008709
59781.499965,0.01623,0.006469
59782.499965,0.021641,0.004453
59783.499965,0.013655,-0.002211
59784.499965,-0.000879,-0.00502
59785.499965,-0.036784,-0.011744
59786.499965,-0.000647,0.006865
59787.499965,-0.003857,-0.004773
59788.499965,0.029007,0.008569
59789.499965,0.032794,0.00119
59790.499965,0.01243,-0.007331
59791.499965,-0.010815,0.014411
59792.499965,0.005589,-0.000327
59793.499965,-0.022522,-0.00024
59794.499965,0.018348,-9.4e-05
59795.499965,-0.089217,-0.025125
59796.499965,-0.027411,0.001485
59797.499965,-0.027561,-0.011999
59798.499965,-0.014725,0.001063
59799.499965,-0.004905,0.000763
59800.499965,-0.013488,-0.013376
59801.499965,0.000607,0.006045
59802.499965,-0.001906,-0.001309
59803.499965,-0.013146,-0.000878
59804.499965,-0.010566,-0.003888
59805.499965,0.014718,0.038395
59830.499965,0.01451,0.007925
59831.499965,-0.02132,0.004141
59832.499965,0.035662,0.020309
59833.499965,0.006087,0.001831
59834.499965,-0.020916,-0.013079
59835.499965,0.019483,-0.00567
59836.499965,0.016557,0.004593
59837.499965,-0.027024,-0.00519
59838.499965,-0.023808,-0.011378
59839.499965,-0.000165,-0.004099
59840.499965,-0.012696,0.002243
59841.499965,-0.042163,0.000375
59842.499965,0.000132,-0.003768
59843.499965,-0.019436,-0.000215
59844.499965,-0.03071,0.003089
59845.499965,-0.023,-0.003008
59846.499965,0.030242,-0.00997
59847.499965,-0.00706,-0.008307
59848.499965,-0.005595,-0.005865
59849.499965,-0.019401,0.004809
59850.499965,-0.004445,0.009557
59851.499965,-0.011792,0.008384
59852.499965,0.026341,0.003733
59853.499965,-0.011249,0.007678
59854.499965,-0.024862,-0.006845
59855.499965,0.015294,0.000324
59856.499965,-0.012501,0.007154
59857.499965,-0.008416,-0.001265
59858.499965,0.002796,-0.000481
59859.499965,-0.026383,0.011867
59860.499965,0.012518,0.025386
59861.499965,0.022094,0.009635
59862.499965,-0.0179,-0.002369
59863.499965,0.006413,-0.006527
59864.499965,0.007187,0.005084
59865.499965,-0.010677,0.001942
59866.499965,-0.001507,0.001556
59867.499965,0.034944,-0.004074
59868.499965,0.031694,-0.011911
59869.499965,-0.053823,-0.016759
59870.499965,-0.010358,-0.008522
59871.499965,-0.030632,-0.004584
59872.499965,0.00989,0.00061
59873.499965,0.005969,-0.025308
59879.499965,0.009835,-0.001841
59880.499965,0.022407,0.01057
59897.499965,-0.004148,0.018314
59898.499965,-0.007905,0.007766
59899.499965,0.022737,0.016785
59906.499965,0.059946,-0.008858
59907.499965,0.002447,0.001261
59908.499965,0.015933,-0.012003
59909.499965,-0.031355,-0.008671
59910.499965,0.001832,-0.007856
59911.499965,0.015288,0.013979
59912.499965,-0.026041,-0.007636
59913.499965,-0.015052,0.009732
59914.499965,-0.001799,0.000393
59915.499965,-0.010626,0.002548
59916.499965,0.012962,-0.002485
59917.499965,0.00952,0.000951
59918.499965,0.011752,0.006579
59919.499965,0.015712,0.006663
59920.499965,0.017645,0.005911
59921.499965,0.019702,0.004349
59922.499965,-0.038859,-0.008467
59923.499965,0.003168,0.005086
59924.499965,-0.017935,-0.000175
59925.499965,0.029367,-0.01085
59926.499965,0.032901,0.000683
59927.499965,0.006615,0.009943
59928.499965,0.01898,0.008285
59929.499965,-0.015245,-0.000425
59930.499965,-0.001024,-0.001324
59931.499965,-0.007093,0.020578
59932.499965,0.009175,0.006993
59933.499965,-0.011059,0.006284
59934.499965,-0.012603,-0.000775
59935.499965,-0.020613,-0.000304
59936.499965,-0.001153,0.007456
59937.499965,0.007416,-0.001989
59938.499965,-0.013201,-0.005226
59939.499965,0.009249,-0.001454
59940.499965,0.008653,-0.015504
59941.499965,0.052222,-0.000612
59942.499965,0.001281,0.013405
59943.499965,0.019758,-0.00329
59944.499965,-0.016667,-0.013533
59945.499965,0.005928,0.001511
59946.499965,-0.000758,0.013836
59947.499965,0.009681,0.010632
59948.499965,-0.031737,-0.008852
59949.499965,0.030196,0.024717
59950.499965,-0.012244,0.003257
59978.499965,0.001546,0.03187
59979.499965,-0.002612,0.005835
59980.499965,0.029602,0.004852
59981.499965,-0.002561,0.001003
59982.499965,0.00573,0.01132
59983.499965,-0.011021,-0.007289
59984.499965,0.014085,0.003512
59985.499965,-0.032243,-0.020737
59986.499965,0.005124,0.016511
59987.499965,0.039567,0.002095
59988.499965,0.002593,0.007904
59989.499965,0.00975,0.005043
59990.499965,0.006889,0.006609
59991.499965,0.032789,0.002952
59992.499965,-0.007159,-0.002953
59993.499965,-0.007412,0.017019
59994.499965,0.024312,0.01955
59995.499965,0.011476,-0.000636
59996.499965,0.033176,-0.003793
59997.499965,0.025972,0.022768
59998.499965,0.017406,-0.00091
59999.499965,0.038319,0.012081
60000.499965,0.018442,0.032183
60001.499965,0.037358,0.014109
60002.499965,0.029972,0.010451
60003.499965,0.026727,0.000557
60004.499965,0.018368,0.020562
60005.499965,0.02312,0.0195
60006.499965,0.021877,0.017263
60007.499965,0.019246,0.015384
60008.499965,0.022087,0.017372
60009.499965,0.060506,0.021224
60010.499965,0.041856,0.0154
60011.499965,0.012562,0.004496
60012.499965,0.01876,-0.000945
60013.499965,0.051744,0.013902
60014.499965,0.016442,0.005873
60015.499965,0.035685,0.012309
60016.499965,0.015029,0.003675
60017.499965,0.000109,-0.013215
60018.499965,0.032891,0.01724
60019.499965,0.002748,0.002005
60020.499965,0.008044,0.010428
60021.499965,0.012933,0.010552
60022.499965,0.063228,0.011024
60023.499965,0.019163,0.013173
60048.499965,-4.5e-05,0.016187
60049.499965,0.014227,0.006517
60050.499965,0.058952,0.024886
60051.499965,0.022224,-0.003597
60052.499965,0.006525,0.010691
60053.499965,0.045425,0.004406
60054.499965,0.00459,-0.005858
60055.499965,0.009569,0.006515
60056.499965,0.011877,0.00809
60057.499965,0.033848,0.008354
60058.499965,0.039771,0.028394
60059.499965,0.053584,0.020432
60060.499965,0.026594,0.014645
60061.499965,0.044334,0.013656
60062.499965,0.024444,0.010024
60063.499965,0.008938,0.004536
60064.499965,0.019817,0.003007
60065.499965,0.009219,0.019365
60066.499965,0.004329,0.011066
60067.499965,0.026373,0.010143
60068.499965,0.014676,0.010308
60069.499965,0.06117,0.015869
60070.499965,-0.001081,0.00475
60071.499965,0.054264,0.012057
60072.499965,0.015793,0.012279
60073.499965,0.001715,0.015922
60074.499965,0.012967,0.00866
60075.499965,-0.005337,0.013634
60076.499965,0.005935,0.010258
60077.499965,0.010759,0.012069
60078.499965,0.024069,0.002448
60079.499965,-0.002028,-0.001478
60080.499965,-0.011907,0.011868
60081.499965,0.045036,0.012223
60082.499965,0.007891,0.010969
60083.499965,0.007189,-0.003777
60084.499965,0.039501,0.007923
60085.499965,0.020345,0.007693
60086.499965,-0.005471,0.019914
60087.499965,0.03237,0.002335
60088.499965,0.032838,0.006898
60089.499965,0.015526,0.004065
60090.499965,0.017726,0.010774
60091.499965,0.006523,0.009424
60092.499965,-0.006057,-0.001061
60093.499965,0.029371,-0.002107
60094.499965,-0.021482,-0.002426
60095.499965,-0.002944,-0.000617
60096.499965,-0.02846,0.015913
60120.499965,-0.061111,-0.036564
60121.499965,0.011795,0.003643
60122.499965,-0.01112,0.005036
60123.499965,0.031748,0.019138
60124.499965,0.012343,-0.001596
60125.499965,-0.027109,-0.003152
60126.499965,0.007987,0.002558
60127.499965,-0.002212,-0.003753
60128.499965,0.005594,-0.006131
60129.499965,0.010013,-0.001848
60130.499965,-0.007034,0.009714
60131.499965,-0.012202,-0.010427
60132.499965,0.005372,0.006566
60133.499965,0.017873,0.008264
60134.499965,-0.000178,-0.001211
60135.499965,0.012261,0.00142
60136.499965,0.035581,0.012407
60137.499965,0.027292,0.001646
60138.499965,-0.004522,0.006975
60139.499965,0.020443,-0.004046
60140.499965,-0.025184,0.00056
60141.499965,0.010446,-0.003733
60142.499965,-0.004803,-0.00379
60143.499965,-0.003602,-0.010739
60144.499965,-0.000105,0.002016
